"","CASE_CODE","MEMBER_STATE","AID_INSTRUMENT","CASE_TYPE","START_DATE","END_DATE","NOTIFICATION_DATE","DECISIONS","OBJECTIVES","DECISION_DATE","DG_RESPONSIBLE","BANKS_INVOLVED"
"1","SA.33683","Poland","Guarantee, Other","Scheme","2/6/2008","6/29/2008","12/14/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","2/7/2008","Competition DG",""
"2","SA.33760","Spain","Guarantee","Scheme","1/31/2008","6/29/2008","1/15/2008","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","2/8/2008","Competition DG",""
"3","SA.32995","Denmark","Direct grant, Guarantee","Scheme","12/31/2007","6/29/2008","8/28/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/8/2007","Competition DG",""
"4","SA.33751","Greece","Other forms of equity intervention","Scheme","12/31/2007","6/29/2008","12/21/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","2/5/2008","Competition DG",""
"5","SA.33154","Hungary","Other","Scheme","12/31/2007","6/29/2008","12/14/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","3/7/2008","Competition DG",""
"6","SA.33170","Hungary","Soft loan","Scheme","12/31/2007","6/29/2008","12/14/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","3/6/2008","Competition DG",""
"7","SA.33007","Ireland","Guarantee","Scheme","12/31/2007","6/29/2008","10/10/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/7/2007","Competition DG",""
"8","SA.33153","Portugal","Guarantee","Scheme","12/31/2007","6/29/2008","12/7/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/20/2007","Competition DG",""
"9","SA.33740","Greece","Other forms of equity intervention","Individual Application","12/27/2007","","12/19/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/27/2007","Competition DG","Piraeus Bank"
"10","SA.33303","Greece","Other forms of equity intervention","Individual Application","12/21/2007","","12/12/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/21/2007","Competition DG","NBG"
"11","SA.33096","Belgium","Guarantee","Ad Hoc Case","12/20/2007","9/29/2008","10/16/2007","Article 4(4) - decision to extend proceedings, Article 4(4) - decision to initiate the formal investigation procedure","Remedy for a serious disturbance in the economy","5/30/2008","Competition DG","Dexia"
"12","SA.33095","France","Guarantee, Other forms of equity intervention","Ad Hoc Case","12/20/2007","9/29/2008","10/16/2007","Article 4(4) - decision to extend proceedings, Article 4(4) - decision to initiate the formal investigation procedure","Remedy for a serious disturbance in the economy","5/30/2008","Competition DG","Dexia"
"13","SA.33103","Luxembourg","Guarantee","Ad Hoc Case","12/20/2007","9/29/2008","10/16/2007","Article 4(4) - decision to extend proceedings, Article 4(4) - decision to initiate the formal investigation procedure","Remedy for a serious disturbance in the economy","5/30/2008","Competition DG","Dexia"
"14","SA.32745","Ireland","Other forms of equity intervention","Scheme","12/19/2007","6/29/2008","6/13/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/19/2007","Competition DG","Credit Unions Ireland"
"15","SA.33001","Spain","Direct grant","Ad Hoc Case","11/20/2007","11/20/2012","11/20/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","11/20/2007","Competition DG","Banco de Valencia"
"16","N743/2007","France","Reduction of social security contributions","Scheme","11/9/2007","11/9/2013","10/28/2006","Article 4(3) - decision not to raise objections","Social support to individual consumers","2/22/2007","Competition DG",""
"17","SA.33008","Belgium","Guarantee, Other forms of equity intervention","Ad Hoc Case","10/16/2007","","10/12/2007","Article 4(3) - decision not to raise objections, Article 4(4) - decision to initiate the formal investigation procedure","Remedy for a serious disturbance in the economy","10/16/2007","Competition DG","Dexia Banque Belgique"
"18","SA.33296","Belgium","Guarantee","Scheme","10/13/2007","","11/21/2007","Article 4(4) - decision to initiate the formal investigation procedure","Remedy for a serious disturbance in the economy","4/2/2008","Competition DG",""
"19","SA.32994","Denmark","Guarantee, Other forms of equity intervention","Scheme","10/6/2007","4/6/2008","9/25/2007","Article 4(3) - decision not to raise objections","Other, Remedy for a serious disturbance in the economy","10/6/2007","Competition DG","Max Bank"
"20","SA.32057","Spain","Direct grant, Other forms of equity intervention","Ad Hoc Case","9/29/2007","","5/29/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","9/29/2007","Competition DG","UNNIM"
"21","SA.32159","Spain","Other forms of equity intervention","Individual Application","9/29/2007","9/29/2011","5/29/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","9/29/2007","Competition DG","NovaCaixaGalicia"
"22","SA.32172","Spain","Other forms of equity intervention","Scheme","9/29/2007","9/29/2011","5/29/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","9/29/2007","Competition DG","CatalunyaCaixa "
"23","SA.32261","Ireland","Other forms of equity intervention","Ad Hoc Case","7/30/2007","","5/3/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","7/10/2007","Competition DG","Bank of Ireland"
"24","SA.32504","Ireland","Direct grant","Ad Hoc Case","7/30/2007","","7/4/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","7/14/2007","Competition DG","Allied Irish Bank; EBS "
"25","SA.32993","Spain","Direct grant, Other forms of equity intervention","Ad Hoc Case","7/23/2007","7/23/2012","7/21/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","7/23/2007","Competition DG","CAM and Banco CAM"
"26","SA.32946","Ireland","Other forms of equity intervention","Ad Hoc Case","7/19/2007","","7/6/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","7/19/2007","Competition DG","ILPGH"
"27","NN63/2008","Germany","Guarantee, Other forms of equity intervention","Individual Application","7/17/2007","","4/1/2005","Article 4(4) - decision to extend proceedings, Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision, Corrigendum","Remedy for a serious disturbance in the economy, Restructuring firms in difficulty","7/17/2007","Competition DG","Hypo Real Estate"
"28","SA.32018","Denmark","Guarantee, Soft loan","Scheme","6/30/2007","12/30/2007","5/10/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy, Rescuing firms in difficulty","7/31/2007","Competition DG",""
"29","SA.32158","Greece","Guarantee, Other forms of equity intervention","Scheme","6/30/2007","12/30/2007","6/8/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","6/26/2007","Competition DG",""
"30","SA.32188","Greece","Other forms of equity intervention","Scheme","6/30/2007","12/30/2007","6/8/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","6/26/2007","Competition DG",""
"31","SA.31883","Hungary","Guarantee","Scheme","6/30/2007","12/30/2007","5/11/2007","Article 4(3) - decision not to raise objections, Corrigendum","Social support to individual consumers","8/17/2007","Competition DG",""
"32","SA.31998","Hungary","Soft loan","Scheme","6/30/2007","12/30/2007","5/11/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","6/22/2007","Competition DG",""
"33","SA.31999","Hungary","Other forms of equity intervention","Scheme","6/30/2007","12/30/2007","5/11/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","6/22/2007","Competition DG",""
"34","SA.30062","Ireland","Guarantee","Scheme","6/30/2007","12/30/2007","5/3/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","5/31/2007","Competition DG",""
"35","SA.32157","Lithuania","Guarantee, Other forms of equity intervention","Scheme","6/30/2007","12/30/2007","6/5/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","6/26/2007","Competition DG",""
"36","SA.31189","Poland","Other forms of equity intervention","Scheme","6/30/2007","12/30/2007","5/15/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","6/27/2007","Competition DG",""
"37","SA.31646","Poland","Guarantee, Other forms of equity intervention, Soft loan","Scheme","6/30/2007","12/30/2007","5/15/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","6/27/2007","Competition DG",""
"38","SA.32767","Portugal","Other forms of equity intervention","Scheme","6/30/2007","12/30/2007","6/13/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","6/29/2007","Competition DG",""
"39","SA.32990","Portugal","Guarantee","Scheme","6/30/2007","12/30/2007","6/13/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","6/29/2007","Competition DG",""
"40","SA.31154","Spain","Guarantee","Scheme","6/30/2007","12/30/2007","5/10/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","5/31/2007","Competition DG",""
"41","NN57/2008","Netherlands","Other forms of equity intervention, Soft loan","Ad Hoc Case","4/4/2007","","11/27/2004","Article 4(4) - decision to extend proceedings, Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision, Article 7(4) - conditional decision, Other","Restructuring firms in difficulty","4/4/2007","Competition DG","ABN AMRO"
"42","C26/2009","United Kingdom","Soft loan","Scheme","3/31/2007","","4/14/2004","Article 4(3) - decision not to raise objections","Services of general economic interest","7/5/2006","Competition DG",""
"43","SA.33006","United Kingdom","Other forms of equity intervention","Ad Hoc Case","3/31/2007","","3/23/2007","Article 4(3) - decision not to raise objections","Execution of an important project of common Europe","12/19/2007","Competition DG","Big Society Capital"
"44","SA.29833","Poland","Guarantee, Soft loan, Tax deferment","Scheme","3/12/2007","12/30/2007","4/30/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","6/27/2007","Competition DG",""
"45","SA.29338","Slovenia","Other forms of equity intervention","Ad Hoc Case","3/6/2007","","1/13/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","3/6/2007","Competition DG","NLB - Slovenia"
"46","SA.33917","Denmark","Other forms of equity intervention, Soft loan","Individual Application","2/5/2007","8/5/2007","2/24/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy, Rescuing firms in difficulty, Restructuring firms in difficulty","6/5/2007","Competition DG","Amagerbanken"
"47","SA.34032","Denmark","Direct grant, Guarantee","Individual Application","2/5/2007","8/5/2007","8/4/2007","Article 4(3) - decision not to raise objections","closure aid","1/24/2008","Competition DG","Amagerbanken"
"48","NN52/2010","Lithuania","Guarantee, Other forms of equity intervention","Scheme","1/20/2007","6/29/2007","1/3/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","1/20/2007","Competition DG",""
"49","SA.28264","Belgium","Guarantee","Scheme","12/31/2006","12/30/2007","12/23/2006","Article 4(3) - decision not to raise objections","Promotion of export and internationalisation","5/29/2007","Competition DG",""
"50","N530/2010","Denmark","Guarantee, Other forms of equity intervention","Scheme","12/31/2006","6/29/2007","11/16/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy, Rescuing firms in difficulty","12/6/2006","Competition DG",""
"51","SA.33117","France","Tax rate reduction","Scheme","12/31/2006","","9/16/2006","Article 4(3) - decision not to raise objections","Social support to individual consumers","10/28/2006","Competition DG",""
"52","NN25/2008","Greece","Guarantee, Other forms of equity intervention","Scheme","12/31/2006","6/29/2007","11/25/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/20/2006","Competition DG",""
"53","NN34/2007","Greece","Other forms of equity intervention","Scheme","12/31/2006","6/29/2007","11/25/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/13/2006","Competition DG",""
"54","N524/2008","Hungary","Soft loan","Scheme","12/31/2006","6/29/2007","11/14/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/6/2006","Competition DG",""
"55","N528/2008","Hungary","Other forms of equity intervention","Scheme","12/31/2006","6/29/2007","11/14/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/6/2006","Competition DG",""
"56","N328/2010","Hungary","Guarantee","Scheme","12/31/2006","6/29/2007","11/14/2006","Article 4(3) - decision not to raise objections","Social support to individual consumers","12/7/2006","Competition DG",""
"57","N380/2010","Ireland","Guarantee","Scheme","12/31/2006","6/29/2007","10/21/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","11/9/2006","Competition DG",""
"58","N512/2008","Poland","Guarantee, Other","Scheme","12/31/2006","6/29/2007","11/14/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/15/2006","Competition DG",""
"59","N520a/2008","Poland","Other forms of equity intervention","Scheme","12/31/2006","6/29/2007","11/14/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/15/2006","Competition DG",""
"60","N487/2010","Spain","Guarantee","Scheme","12/31/2006","6/29/2007","11/14/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","11/28/2006","Competition DG",""
"61","N355/2009","Sweden","Guarantee","Scheme","12/31/2006","6/29/2007","11/11/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","11/30/2006","Competition DG",""
"62","SA.28787","Austria","Guarantee","Individual Application","12/30/2006","","12/28/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy, Restructuring firms in difficulty","7/18/2007","Competition DG","Hypo Group Alpe Adria"
"63","SA.27991","Ireland","Guarantee, Other forms of equity intervention","Ad Hoc Case","12/30/2006","","12/7/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/20/2006","Competition DG","Anglo Irish Bank "
"64","N533/2008","Ireland","Direct grant","Ad Hoc Case","12/22/2006","","11/9/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/20/2006","Competition DG","Allied Irish Bank"
"65","NN35/2010","Ireland","Other forms of equity intervention","Ad Hoc Case","11/30/2006","","10/11/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/20/2006","Competition DG","INBS"
"66","N254/2010","Italy","Other forms of equity intervention","Scheme","10/20/2006","12/30/2006","9/30/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","10/20/2006","Competition DG",""
"67","N344/2009","Denmark","Other forms of equity intervention","Scheme","9/30/2006","12/30/2006","3/24/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","9/29/2006","Competition DG",""
"68","N48/2010","Ireland","Other forms of equity intervention","Scheme","8/22/2006","","7/22/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","11/28/2006","Competition DG","NAMA"
"69","C37/2010","Lithuania","Guarantee","Scheme","8/4/2006","12/30/2006","4/2/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","8/4/2006","Competition DG",""
"70","N31a/2009","Lithuania","Other forms of equity intervention","Scheme","8/4/2006","12/30/2006","2/7/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","8/4/2006","Competition DG",""
"71","N207/2010","Greece","Other forms of equity intervention","Scheme","7/29/2006","6/29/2013","7/20/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","9/2/2006","Competition DG",""
"72","N26/2009","Portugal","Guarantee","Scheme","7/22/2006","12/30/2006","7/12/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","7/22/2006","Competition DG",""
"73","N198/2010","Portugal","Other forms of equity intervention","Scheme","7/22/2006","12/30/2006","7/12/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","7/22/2006","Competition DG",""
"74","N261/2010","Spain","Other forms of equity intervention","Scheme","7/22/2006","12/30/2006","7/14/2006","Article 4(3) - decision not to raise objections, Corrigendum","Remedy for a serious disturbance in the economy","8/22/2006","Competition DG",""
"75","N694/2009","Ireland","Other forms of equity intervention","Ad Hoc Case","7/18/2006","12/30/2006","6/27/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","8/9/2006","Competition DG","Anglo Irish Bank "
"76","N531/2009","Ireland","Guarantee, Other forms of equity intervention","Ad Hoc Case","7/14/2006","","9/13/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","7/14/2006","Competition DG","Bank of Ireland"
"77","N238/2010","Poland","Other forms of equity intervention","Scheme","7/4/2006","12/30/2006","6/17/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","7/4/2006","Competition DG",""
"78","N225/2010","Denmark","Guarantee","Scheme","6/30/2006","12/30/2006","6/16/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","6/27/2006","Competition DG",""
"79","N160/2010","Germany","Guarantee, Other, Other forms of equity intervention","Scheme","6/30/2006","12/30/2006","6/2/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","6/22/2006","Competition DG",""
"80","N193/2009","Greece","Guarantee, Other forms of equity intervention","Scheme","6/30/2006","12/30/2006","6/17/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","6/29/2006","Competition DG",""
"81","N164/2009","Hungary","Other forms of equity intervention","Scheme","6/30/2006","6/29/2006","5/19/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","6/22/2006","Competition DG",""
"82","N189/2009","Hungary","Soft loan","Scheme","6/30/2006","","5/19/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","6/27/2006","Competition DG",""
"83","N179/2009","Ireland","Guarantee","Scheme","6/30/2006","12/30/2006","6/2/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","6/27/2006","Competition DG",""
"84","N163/2010","Latvia","Guarantee","Scheme","6/30/2006","12/30/2006","6/3/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","6/23/2006","Competition DG",""
"85","N202/2010","Netherlands","Guarantee","Scheme","6/30/2006","12/30/2006","6/8/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","6/28/2006","Competition DG",""
"86","N194/2009","Poland","Guarantee, Other","Scheme","6/30/2006","12/30/2006","6/7/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","6/28/2006","Competition DG",""
"87","N214/2009","Slovenia","Guarantee","Scheme","6/30/2006","12/30/2006","6/9/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","6/28/2006","Competition DG",""
"88","N239/2009","Spain","Guarantee","Scheme","6/30/2006","12/30/2006","5/30/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","6/27/2006","Competition DG",""
"89","C50/2006","Sweden","Guarantee","Scheme","6/30/2006","12/30/2006","5/26/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","6/14/2006","Competition DG",""
"90","N337/2009","Spain","Guarantee, Provision of risk capital","Individual Application","6/21/2006","12/30/2011","6/1/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy, Restructuring firms in difficulty","11/7/2006","Competition DG","Cajasur"
"91","C32/2009","Ireland","Other forms of equity intervention","Individual Application","6/1/2006","","3/3/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","6/1/2006","Competition DG","EBS"
"92","C27/2004","Ireland","Guarantee","Individual Application","6/1/2006","6/29/2006","5/17/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","5/30/2006","Competition DG",""
"93","N113/2010","Spain","Provision of risk capital, Soft loan","Ad Hoc Case","5/21/2006","11/21/2006","5/21/2006","Article 4(3) - decision not to raise objections, Corrigendum","Remedy for a serious disturbance in the economy","6/21/2006","Competition DG","Cajasur"
"94","C41/2009","Greece","Guarantee, Other forms of equity intervention","Ad Hoc Case","5/11/2006","6/29/2006","5/5/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","5/11/2006","Competition DG",""
"95","N29/2009","Ireland","Other forms of equity intervention","Scheme","5/9/2006","5/9/2006","3/3/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","8/2/2006","Competition DG","NAMA"
"96","N222/2010","Germany","Other forms of equity intervention","Ad Hoc Case","5/2/2006","","6/14/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","6/21/2006","Competition DG",""
"97","C14/2008","Finland","Other forms of equity intervention","Scheme","4/30/2006","10/30/2006","3/18/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","4/13/2006","Competition DG",""
"98","C11/2010","Sweden","Guarantee","Scheme","4/30/2006","6/29/2006","4/5/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","4/21/2006","Competition DG",""
"99","C15/2007","Germany","Other forms of equity intervention","Individual Application","4/29/2006","","4/29/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","5/18/2006","Competition DG","HRE"
"100","C17/2009","Slovenia","Soft loan","Scheme","4/18/2006","6/29/2006","3/22/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","4/14/2006","Competition DG",""
"101","N360/2008","Ireland","Direct grant","Ad Hoc Case","3/29/2006","","5/16/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy, Rescuing firms in difficulty","10/11/2007","Competition DG",""
"102","N627/2009","Poland","Guarantee, Other","Scheme","3/25/2006","6/29/2006","11/25/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","2/8/2006","Competition DG",""
"103","N97/2009","Latvia","Guarantee, Other forms of equity intervention, Soft loan","Individual Application","3/22/2006","","1/6/2006","","Remedy for a serious disturbance in the economy","1/25/2008","Competition DG","Latvian Mortgage and Land Bank"
"104","N543/2010","Portugal","Other forms of equity intervention","Scheme","3/16/2006","6/29/2006","1/17/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","3/16/2006","Competition DG",""
"105","N380/2009","Germany","Guarantee","Scheme","3/14/2006","12/30/2006","2/7/2006","Article 4(3) - decision not to raise objections","Promotion of export and internationalisation, Remedy for a serious disturbance in the economy","3/8/2006","Competition DG",""
"106","N392/2010","Portugal","Guarantee","Scheme","2/21/2006","6/29/2006","1/10/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","2/21/2006","Competition DG",""
"107","N675/2006","Ireland","Direct grant, Other forms of equity intervention","Scheme","2/9/2006","12/30/2006","5/30/2006","Article 4(4) - decision to initiate the formal investigation procedure","Remedy for a serious disturbance in the economy","10/10/2006","Competition DG","EBS"
"108","C35/2004","Denmark","Guarantee","Scheme","2/2/2006","6/29/2006","12/20/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","1/31/2006","Competition DG",""
"109","N249/2010","Spain","Other forms of equity intervention","Scheme","1/27/2006","6/29/2006","1/18/2006","Article 4(3) - decision not to raise objections, Corrigendum","Remedy for a serious disturbance in the economy","2/17/2006","Competition DG",""
"110","N504/2009","Greece","Guarantee, Other forms of equity intervention","Scheme","1/24/2006","6/29/2006","12/13/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","1/24/2006","Competition DG",""
"111","N588/2009","Denmark","Guarantee","Scheme","1/12/2006","","6/2/2005","Article 4(3) - decision not to raise objections","Sectoral development","1/12/2006","Competition DG",""
"112","N110/2010","United Kingdom","Guarantee, Other forms of equity intervention, Soft loan","Ad Hoc Case","1/7/2006","","3/26/2005","Article 4(3) - decision not to raise objections, Corrigendum","Remedy for a serious disturbance in the economy","4/22/2006","Competition DG","Bradford & Bingley"
"113","N638/2008","Finland","Guarantee","Scheme","12/31/2005","6/29/2006","12/1/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/16/2005","Competition DG",""
"114","N567/2008","France","Direct grant","Scheme","12/31/2005","12/30/2012","12/11/2004","Article 4(3) - decision not to raise objections","Social support to individual consumers","4/7/2005","Competition DG",""
"115","N637/2008","Germany","Guarantee, Other forms of equity intervention","Scheme","12/31/2005","","11/29/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/16/2005","Competition DG",""
"116","N436/2009","Hungary","Other forms of equity intervention","Scheme","12/31/2005","6/29/2006","11/26/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/16/2005","Competition DG",""
"117","N532/2010","Ireland","Direct grant","Scheme","12/31/2005","12/30/2006","3/23/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","2/25/2006","Competition DG",""
"118","N628/2009","Latvia","Guarantee","Scheme","12/31/2005","6/29/2006","11/29/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/16/2005","Competition DG",""
