Date,Description*,Image,Place*,"Location (latitude, longitude)",Source*,Source URL*,Total assets of balance sheet of bank at time of failure (EUR + orig. currency)*,Source (link for total asset of balance sheet),Corporate entity,Acquirer (public or private),Type of restructuring,Home country*,Failed (Yes/No),Amount,Did the bank receive state aid?
2009-12-14,"Austria nationalised Hypo Group Alpe Adria to avert a bank collapse that could have undermined trust in banks in eastern Europe and cast doubt over Austria's and Germany's backing of state-owned lenders. Austria is taking over 100 percent of Hypo from BayernLB, insurer Grawe and the Austrian state of Carinthia, after shareholders agreed to inject around 1 billion euros ($1.5 billion) in capital, Finance Minister Josef Proell said. Proell said European Central Bank President Jean-Claude Trichet had been involved in the talks. The owners will give away their stakes in Hypo to Austria and provide an additional round of capital. BayernLB, which is owned by Bavaria, will give an additional 825 million euros in capital, and leave 3 billion euros of liquidity in the bank. It was the second nationalisation of an Austrian bank during the global financial crisis after Austria bailed out troubled municipality lender Kommunalkredit last year.",,"Klagenfurt, Austria","46.62056, 14.31069",Reuters,http://updated.internalinsider.info/index.php/business/46490-austria-nationalises-hypo-to-avoid-banks-collapse,41078.7 m,http://www.hypo-alpe-adria-bank-annualreports.com/2009_annual_report/group-annual-report-2009-download.835.htm,"Owners: BayernLB, Kärntner Landesholding and Grazer Wechselseitige Versicherung",FIMBAG (National holding company),Nationalised (100 per cent),Austria,,1BN EUR injected,
2008-11-02,"Nov 2 (Reuters) - The Austrian state will take over 100 percent of public sector financier Kommunalkredit. Austrian broadcaster ORF reported on Sunday. The state will take over the 51 percent owned by Austria's Volksbank and the 49 percent owned by Franco-Belgian financial services firm Dexia (DEXI.BR), ORF reported without citing its source. Kommunalkredit was not immediately available for comment. A finance ministry spokesman told Reuters last week that it was considering taking an equity stake in Kommunalkredit, a key financier of Austrian states and municipalities that has 20 billion euros ($25.55 billion) in bonds outstanding. Talks were proceeding about how big such a stake could be and what form of equity would be injected in the bank, which faces a liquidity squeeze because it relies on wholesale funding to refinance its loan book, the spokesman said last week. Kommunalkredit said last weekend it had started talks with the finance ministry about measures under the country's recently enacted banking stability package. The unlisted bank has a balance sheet total of 34.5 billion euros, making it Austria's eighth-biggest lender.",,"Vienna, Austria","48.202548, 16.368805",Reuters,http://uk.reuters.com/article/2008/11/02/financial-austria-kommunalkredit-idUKL246887820081102,37456.6 m,http://www.kafinanz.at/uploads/KA_GB_2008_468_EN.pdf,,FIMBAG (National holding company),Nationalised,Austria,,,
2008-09-28,"Stricken Beligian-Dutch bank Fortis was bailed out by the governments of Holland, Belgium and Luxembourg to the tune of €11.2bn (£8.9bn) after investors deserted the bank last week. Image 1 of 3 Fortis has been nationalised by the governments of Belgium and the Netherlands. The three countries will each take a 49pc stake in the bank in their respective countries. Fortis will also sell the assets of Dutch bank ABN Amro which it bought last year as part of a consortium with Royal Bank of Scotland. Politicians and central bankers, including European Central Bank president Jean-Claude Trichet, held emergency talks over the weekend to decide the future of Fortis after the shares dropped 35pc last week on concern the bank may not be able to meet its funding requirements. The bank's difficulties stem from last year's €24bn ABN purchase, which went through just before the credit crunch took hold and the value of financial assets collapsed. RBS would be unaffected by a sale of the ABN business in Holland, sources said.",,"Brussels, Belgium","50.848385, 4.349685",Telegraph,http://www.telegraph.co.uk/finance/financialcrisis/3100606/Financial-crisis-Benelux-bank-Fortis-nationalised-to-stop-collapse.html,,,,BNP Paribas (Belgian and Luxembourg assets),partly nationalised,Belgium,,,
2008-09-30,"Dexia has become the latest European bank to be bailed out as the deepening credit crisis shakes the banks sector. After all-night talks the Belgian, French and Luxembourg governments said they would put in 6.4bn euros ($9bn; £5bn) to keep it afloat. Shares in the Belgian-French bank fell 30% on Monday before being suspended on Tuesday as the bail-out was announced. It is the second bank rescue in days by Belgium and its neighbours. On Sunday Fortis bank was partly nationalised. This latest move by European governments to shore up another bank under pressure came as global stock markets plunged after the US House of Representatives rejected the White House's planned $700bn bail-out package. 'Crisis situation' Dexia is the one of the world's largest lenders to local governments, but has run up significant losses in its US operations. In a statement the French government said the rescue was necessary to ""guarantee continuity of funding for local authorities"". The Belgian government and Belgian shareholders will invest 3bn euros, the French government will also invest 3bn euros via its state investment arm, while Luxembourg will put in just under 400m euros.",,"Brussels, Belgium","50.848385, 4.349685",BBC,http://news.bbc.co.uk/2/hi/business/7643638.stm,,,,"The Belgian, French and Luxembourg governments",bail-out,Belgium,,"E3 Billion (belgium state)
E3 Billion (french state)
E376 Milion (lux state)",
2011-10-10,"Belgium to take control of Dexia Bank's local arm BRUSSELS - Belgium will take total control of the local arm of the troubled Franco-Belgian bank Dexia in a 4.0 billion euro (S$6.9 billion) deal, Prime Minister Yves Leterme said Monday after a cabinet meeting in Brussels. France, Belgium and Luxembourg said earlier Sunday they had reached a deal to dismantle Dexia, the first victim of the eurozone debt crisis, in a proposal that will be submitted to the Dexia board. Leterme told a news conference that the takeover of Dexia Bank Belgium would ""make secure"" the retail bank and free it from ""any risks resulting from the environment within parent body Dexia SA"".",,"Brussels, Belgium","50.848385, 4.349685",AFP,http://www.france24.com/en/20111010-brussels-take-full-100-percent-control-dexia-belgian-arm-leterme-bank,,,,"The Belgian, French and Luxembourg governments",nationalised,Belgium,,,
1997-09-23,,,Bulgaria ,"42.731596, 25.483115",,http://www.capital.bg/politika_i_ikonomika/1997/01/27/998486_bnb_prizna_bzk_i_elitbank_za_neplatejosposobni/,,,,,,Bulgaria,,,
1997-10-01,,,Bulgaria ,"42.731596, 25.483115",,http://www.capital.bg/politika_i_ikonomika/bulgaria/2000/02/25/254540_faliralite_banki_v_kapana_na_paragraf_22/,,,,,,Bulgaria,,,
1997-10-24,,,Bulgaria ,"42.731596, 25.483115",,http://www.capital.bg/biznes/finansi/1997/11/01/241493_banka_za_zemedelski_kredit_e_obiavena_vuv_falit/,,,,,,Bulgaria,,,
1997-01-12,,,Bulgaria ,"42.731596, 25.483115",,http://www.capital.bg/biznes/finansi/1997/10/25/241372_bnb_za_vtori_put_otne_licenza_na_pchb/,,,,,,Bulgaria,,,
1997-03-24,,,Bulgaria ,"42.731596, 25.483115",,http://www.capital.bg/biznes/finansi/1997/03/24/863188_nakratko/,,,,,,Bulgaria,,,
,,,Bulgaria ,"42.731596, 25.483115",,,,,,,,Bulgaria,,,
,,,Bulgaria ,"42.731596, 25.483115",,,,,,,,Bulgaria,,,
,,,Bulgaria ,"42.731596, 25.483115",,,,,,,,Bulgaria,,,
,,,Bulgaria ,"42.731596, 25.483115",,,,,,,,Bulgaria,,,
2009-03-09,"Straumur, the last remaining independent Icelandic bank, has fallen. The following appeared on the bank’s website earlier this morning: In spite of its strong capital position and the support of funding banks Straumur Burdaras Investment bank hf. (Straumur) believes that its liquidity position is no longer strong enough to sustain its activities. The Icelandic Financial Supervisory Authority (IFSA) has therefore decided to assume the powers of a meeting of the shareholders of Straumur and immediately suspend the Board in its entirety. Further, the IFSA hereby appoints a Resolution Committee, which will take over all authority of the Board of Directors. To which was forlornly added, As a result of this Straumur is closed. It’s not immediately clear in London what the situation of Teathers, Straumur’s UK-registered mid-market broker, was. In a statement this morning, the LSE confirmed that it was reviewing the firm’s Nomad status, while separately, employees said it had also had gone into administration.",,"Copenhagen, Denmark","55.67631, 12.569355",Financial Times,http://ftalphaville.ft.com/2009/03/09/53334/straumur-tized/,,,,Finansiel Stabilitet (Danish national asset management agency),Nationalisation,Iceland,,,
2008-08-25,"The Danish Central Bank will take control of Roskilde Bank A/S to avert a financial ``contagion'' after mounting loan losses drove the lender into insolvency and a private purchaser couldn't be found. The central bank and a group of Danish financial companies will provide Roskilde 4.5 billion kroner ($890 million) in cash and assume 37.3 billion kroner of debt, Roskilde said in a statement yesterday. The bank was suspended in Copenhagen trading today, after falling 88 percent from a peak in April 2007. ``We wanted to secure financial stability in Denmark,'' central bank Governor Nils Bernstein said at a press conference in Copenhagen today. ``The alternative would have been that Roskilde went bankrupt and that would have resulted in a considerable contagion throughout the financial sector.'' Writedowns on real estate loans led to a pretax loss of at least 1 billion kroner in the first half, double an estimate the bank published on July 14, Roskilde said yesterday. Denmark entered a recession in the first quarter, the first European economy to do so since the global credit crisis began last year. The bailout is the first by the Danish central bank in 15 years. Shareholders in Roskilde have lost about 1 billion kroner, while holders of hybrid capital, which ranks between debt and equity for repayment in the event of bankruptcy, have lost about 2.5 billion kroner, Bernstein said.",,"Roskilde, Denmark","55.640465, 12.090923",Bloomberg,http://www.bloomberg.com/apps/news?pid=newsarchive&sid=aDtOi5jjVxrI,,,,"Nationalbanken, Danish National Bank",Nationalisation,Denmark,,,
2011-10-08,"Max Bank A/S became Denmark’s first insolvent lender to test a bank package designed to sidestep the country’s bail-in laws after the state was able to find a buyer and avert senior creditor losses. Sparekassen Sjaelland A/S will take over the healthy parts of Max Bank after it was declared insolvent by the Financial Supervisory Authority, the government said late yesterday. The state will assume the bank’s bad loans. Under the consolidation bill, the transaction will be subsidized by Denmark’s guarantee fund. Senior creditors will be spared, while shareholders will lose their investments.",,"Næstved, Denmark","55.231544, 11.754249",Bloomberg,http://www.bloomberg.com/news/2011-10-08/denmark-s-max-bank-will-fail-under-bail-in-law-government-says.html,,,,Finansiel Stabilitet (Danish national asset management agency),Nationalisation,Denmark,,,
2011-02-06,"Denmark Seizes Amagerbanken. Danish banking stocks fell Monday after Amagerbanken A/S announced it no longer meets solvency requirements and will therefore be taken over and unwound by Danish state administrators, likely forcing Danish banks to pony up cash for the country's deposit-guarantee scheme. Amagerbanken, the 11th small Danish bank to fall into state hands since the financial crisis hit in 2008, said late Sunday that fourth-quarter write-downs had wiped out its equity, compelling assets and some liabilities to be transferred to and closed down by Finansiel Stabilitet A/S, the state company set up to manage failed banks. As a result of the collapse, Danish banks will have to contribute a proportion of their market share in funds to Denmark's deposit guarantee scheme for secured deposits, they said... Finansiel Stabilitet said it will pay a preliminary sum of 15.2 billion kroner for the assets, covering about 59% of unsecured senior liabilities. A newly created subsidiary called Amagerbanken Of 2011 has received enough liquidity to fulfill capital requirements and keep operations going for the customers, it said.",,"Copenhagen, Denmark","55.67631, 12.569355",WSJ,http://online.wsj.com/article/SB10001424052748704422204576129910427759674.html,,,,Finansiel Stabilitet (Danish national asset management agency),Nationalisation,Denmark,,,
2008-11-28,,,"Fjerritslev, Denmark","57.08823, 9.26673",,Finansiel Stabilitet (Danish national asset management agency),,,,Finansiel Stabilitet (Danish national asset management agency),Nationalisation,Denmark,,,
2009-01-03,,,"Loekken, Denmark","57.370331, 9.71588",,Finansiel Stabilitet (Danish national asset management agency),,,,Finansiel Stabilitet (Danish national asset management agency),Nationalisation,Denmark,,,
2010-02-11,,,"Copenhagen, Denmark","55.67631, 12.569355",,Finansiel Stabilitet (Danish national asset management agency),,,,Finansiel Stabilitet (Danish national asset management agency),Nationalisation,Denmark,,,
2010-09-30,,,"Thorshavn, Faroe Islands","61.897837, -6.969925",,Finansiel Stabilitet (Danish national asset management agency),,,,Finansiel Stabilitet (Danish national asset management agency),Nationalisation,Faroe Islands,,,
2010-09-30,,,"Copenhagen, Denmark","55.67631, 12.569355",,Finansiel Stabilitet (Danish national asset management agency),,,,Finansiel Stabilitet (Danish national asset management agency),Nationalisation,Faroe Islands,,,
2011-06-24,"Another Danish bank — Fjordbank Mors — has been taken over by Denmark’s Finansiel Stabilitet as part of of the so-called ‘Bank Package III’ bail-in rules passed last year. The bank wind-up rules mean investors in failed banks’ senior debt, and even depositors, will be exposed to losses. The first to fail under Denmark’s new resolution rules was, of course, Amagerbanken, early this year. In that sense the failure of Fjordbank is more of the same. According to independent research firm CreditSights, Finansiel Stabilitet has given Fjordbank’s assets a preliminary valuation of DKK 7.8bn (€1bn) — which would cover about 74 per cent of senior liabilities. In other words, investors in the bank’s senior debt and the 450 or so deposit holders of Denmark’s €100,000 limit are looking at a haircut of about 26 per cent — somewhat lower than Amagerbanken’s 41 per cent.",,"Nykøbing Mors, Denmark","56.794521, 8.86307",Financial Times,http://ftalphaville.ft.com/2011/06/27/606556/another-danish-bank-falls-into-a-fjord-of-failure/,,,,Finansiel Stabilitet (Danish national asset management agency),Nationalisation,Denmark,,,
2009-02-23,"Small Danish bank Fionia said on Monday it ceded control to the Danish state in return for a 1 billion Danish crown ($169 million) capital injection that keeps it solvent. Fionia is the ninth-largest Danish bank by market value. It has 84,000 private customers and 7,500 business customers. The bank's shareholders retain ownership of the bank and can reclaim control once the bank rights itself and pays back the state, Fionia said. Trading in Fionia shares was suspended on the Copenhagen exchange.",,"Odense, Denmark","55.39617, 10.390795",Reuters,http://www.reuters.com/article/2009/02/23/fionia-idUSDKT00239620090223,,,,Finansiel Stabilitet (Danish national asset management agency),Nationalisation,Denmark,,,
2009-04-16,,,"Copenhagen, Denmark","55.67631, 12.569355",,Finansiel Stabilitet (Danish national asset management agency),,,,Finansiel Stabilitet (Danish national asset management agency),Nationalisation,Denmark,,,
1905-07-02,,,Finland,"64.928595, 26.067386",,,,,,Finnish Financial Supervisory authority,Closure,Finland,,,
2009-06-02,"Hypo Real Estate Holding AG shareholders backed a government capital increase that paves the way for Germany’s first bank nationalization since the 1930s. Germany’s bank rescue fund, Soffin, which already owned more than 47 percent of Munich-based Hypo Real Estate, will inject 2.96 billion euros ($4.2 billion) to take full control, the company said in an e-mailed statement. Investors approved the plan at an extraordinary meeting yesterday. Hypo Real Estate almost collapsed in September after its Dublin-based Depfa Bank Plc unit couldn’t raise short-term funds amid the credit crisis. The company needed 102 billion euros of credit lines and debt guarantees from the government and the country’s financial institutions, and will require more aid even after the capital infusion approved yesterday. While the capital increase “is a vital part of the whole recapitalization of the company, it’s not sufficient,” Chief Executive Officer Axel Wieandt told shareholders at the meeting in Munich yesterday. He didn’t estimate the amount required. The plan to nationalize Hypo Real Estate has been opposed by investors including New York-based buyout firm J.C. Flowers & Co., which bought a stake in the company last year for 22.50 euros a share. The stock rose 2.1 percent to 1.49 euros in Frankfurt electronic trading today.",,"Munich, Germany","48.136415, 11.577531",Bloomberg,http://www.bloomberg.com/apps/news?pid=newsarchive&sid=aw5ATOaeIdCE,,http://www.hyporealestate.com/eng/pdf/02062009_PI-HV_2009_Englisch_Endfassung.pdf,,,Bail-out plan collapses,Germany,,,
2012-08-30,,,Greece,"38.283306, 24.537435",,http://greece.greekreporter.com/2012/08/30/facing-collapse-greeces-postbank-to-be-privatized/,,,,,Declared insolvent,Greece,,,
2010-07-05,,,Greece,"38.283306, 24.537435",,http://www.capital.gr/Articles.asp?id=964001,,,TT Hellenic Postbank,,Acquired by TT Hellenic Postbank,Greece,,,
2011-07-29,,,"Greece, Cyprus, Luxembourg, Romania, Bulgaria, Poland, Serbia and Turkey ","38.283306, 24.537435",,http://www.alpha.gr/files/investorrelations/EA20110829EN.pdf,,, Spiro Latsis group of companies,,merger with Alpha Bank,Greece,,€4.2-billion,Yes
,,,"Greece, Turkey, Southeastern Europe","38.283306, 24.537435",,,,,,,,Greece,,€6.9-billion,Yes
2012-06-18,,,"Greece, US, UK, Bulgaria, Romania, Albania, Serbia, Egypt, Russia","43.231369, -77.714081",Globe and Mail,http://m.theglobeandmail.com/report-on-business/international-business/greeces-4-big-banks-given-22-billion/article4217901/?service=mobile,,,Piraeus Bank Group ,,,Greece,,€5-billion,Yes
2008-10-07,,,"Reykavik, Iceland","64.137383, -21.902479",,Icelandic Financial Supervisory Authority,,,,Icelandic Financial Supervisory Authority,,Iceland,,,
2008-10-08,,,"Reykavik, Iceland","64.137383, -21.902479",,Icelandic Financial Supervisory Authority,,,,Icelandic Financial Supervisory Authority,,Iceland,,,
2008-10-09,,,"Reykavik, Iceland","64.137383, -21.902479",,Icelandic Financial Supervisory Authority,,,,Icelandic Financial Supervisory Authority,,Iceland,,,
2009-03-01,,,"Reykavik, Iceland","64.137383, -21.902479",,Icelandic Financial Supervisory Authority,,,,Icelandic Financial Supervisory Authority,,Iceland,,,
2009-03-01,,,"Reykavik, Iceland","64.137383, -21.902479",,Icelandic Financial Supervisory Authority,,,,Icelandic Financial Supervisory Authority,,Iceland,,,
2009-03-01,,,"Reykavik, Iceland","64.137383, -21.902479",,Icelandic Financial Supervisory Authority,,,,Icelandic Financial Supervisory Authority,,Iceland,,,
2009-04-01,,,"Reykavik, Iceland","64.137383, -21.902479",,Icelandic Financial Supervisory Authority,,,,Icelandic Financial Supervisory Authority,,Iceland,,,
2009-04-01,,,"Reykavik, Iceland","64.137383, -21.902479",,Icelandic Financial Supervisory Authority,,,,Icelandic Financial Supervisory Authority,,Iceland,,,
2009-04-01,,,"Reykavik, Iceland","64.137383, -21.902479",,Icelandic Financial Supervisory Authority,,,,Icelandic Financial Supervisory Authority,,Iceland,,,
2011-03-01,,,"Reykavik, Iceland","64.137383, -21.902479",,Icelandic Financial Supervisory Authority,,,,Icelandic Financial Supervisory Authority,,Iceland,,,
2009-01-01,,,"Dublin, Ireland","53.34807, -6.248274",,,,,,Central Bank of Ireland,Nationalisation,Ireland,,,
2009-02-12,,,"Dublin, Ireland","53.34807, -6.248274",,,,,,Central Bank of Ireland,Nationalisation,Ireland,,,
2010-12-15,,,"Dublin, Ireland","53.34807, -6.248274",Telegraph,http://www.telegraph.co.uk/finance/financialcrisis/8204455/Irish-government-takes-control-of-countrys-largest-building-society-EBS.html,,,,Central Bank of Ireland,Nationalisation,Ireland,,,
2011-07-07,INBS merges with Anglo Irish The assets and liabilities of Irish Nationwide Building Society have been transferred to Anglo Irish Bank with immediate effect. The move follows an order made by the High Court today under the Credit Institutions (Stabilisation) Act 2010.,,"Grand Parade, Dublin 6, Dublin, Ireland","53.330475, -6.259449",Irish Times,http://www.irishtimes.com/newspaper/breaking/2011/0701/breaking20.html,,,,Central Bank of Ireland,Nationalisation,Ireland,,,
2010-12-16,"EBS Building Society on Wednesday came under the control of the Irish authorities after the Dublin government handed the lender a second capital injection to help it reach a new target for its capital ratios. The latest funding package for EBS, which comes in the form of special investment shares that will convert into ordinary shares if the building society is demutualised, will take the lender's Tier 1 capital ratio to nearly 14pc. Ireland's Central Bank has imposed a minimum 12pc Tier 1 ratio on the country's financial institutions and last month said EBS needed to raise a further €438m to meet the new standard.",,"Dublin, Ireland","53.34807, -6.248274",Telegraph,http://www.telegraph.co.uk/finance/newsbysector/banksandfinance/8165146/Irish-fury-as-EU-nationalises-Bank-of-Ireland.html,154880 m,,,Central Bank of Ireland,Nationalisation,Ireland,,,
